,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
427,"Letter from Edward Waln to Job Roberts Tyson, 1845 September 11",,1845-09-11,,"Author (aut): Waln, Edward, 1811-1887","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1845,9,11
428,"Letter from Charles Miner to Thomas Pim Cope, 1845 October 22",,1845-10-22,Wilkes-Barre (Pa.),"Author (aut): Miner, Charles, 1780-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1845,10,22
429,"1845 November 14, Salem, to cousins, Providence","Invitation to make a social visit to Chase home in Salem, Mass.",1845-11-14,Salem (Mass.),"Author (aut): Chase, Ellen","Addressee (rcp): Brown, Susanna Sansom, 1826-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1845,11,14
430,"Letter from Samuel Reeve to Thomas P. Cope, 1845 November 19",,1845-11-19,New York (N.Y.),"Author (aut): Reeve, Samuel, 1789?-1872",,1845,11,19
431,"1846 January 21, New Bedford, to F.R. Cope, Philada.","Note in another hand: Chas. Tabor to F. R. Cope - 1/21/1846 .

The letter contains Charles Taber's original poem ""man & consequently woman.""",1846-01-21,New Bedford (Mass.),"Author (aut): Taber, Charles, 1822-1887","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1846,1,21
432,"Letter from Edward Waln to Job Roberts Tyson, 1846 January 26",,1846-01-26,,"Author (aut): Waln, Edward, 1811-1887","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1846,1,26
433,"1846 January 31, Woodbourne, to Dear Brother, Philadelphia",,1846-01-31,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1846,1,31
434,"Letter from Edward Waln to Job Roberts Tyson, 1846 February 23",,1846-02-23,,"Author (aut): Waln, Edward, 1811-1887","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1846,2,23
435,"Statement from Edward Waln for Defendant, 1846 February 26",,1846-02-26,,"Author (aut): Waln, Edward, 1811-1887",,1846,2,26
436,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1846 April 23",,1846-04-23,Delaware River (N.Y.-Del. and N.J.),,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1846,4,23
437,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1846 April 26",,1846-04-26,,,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1846,4,26
438,"Letter from P. H. Burnes to ship Thomas P. Cope owners, 1846 May 2",,1846-05-02,,"Author (aut): Burnes, P. H.",,1846,5,2
439,"1846 June 20, Saratoga, to Dear Brother",,1846-06-20,Saratoga (N.Y.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1846,6,20
440,"1846 June 28, Geneva N.Y., to Dear Mother, Philadelphia",,1846-06-28,Geneva (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1846,6,28
441,"1846 July 8, Quebec, to Dear Father, Philadelphia",,1846-07-08,Quebec (Province),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1846,7,8
442,"1846 July 11, Lake George, to Dear Father, Philadelphia",,1846-07-11,Lake George (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1846,7,11
443,"1846 August 1, Woodbourne, to Dear Brother, Philadelphia",,1846-08-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1846,8,1
444,"1846 August 2, New Bedford, to Brother, Philadelphia","Written at New Bedford, Mass., on August 2 and Boston, Mass., on August 3, 1846.",1846-08-02,New Bedford (Mass.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1846,8,2
445,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1846 September 14",,1846-09-11,Liverpool (England),,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1846,9,11
446,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1846 December 20",,1846-12-20,Boston Harbor Watershed (Mass.),,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1846,12,20
447,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1846 December 20",,1846-12-20,Boston (Mass.),,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1846,12,20
448,"1847 March 13, New York, to My Dear Friend",,1847-03-13,New York (N.Y.),"Author (aut): Harvey, Jacob, b. 1816",,1847,3,13
449,"1847 March 14, Providence, to Anna, Philadelphia",,1847-03-14,Providence (R.I.),"Author (aut): Jenkins, Anna Almy, d. 1849","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1847,3,14
450,"Letter from Edward Waln to Job Roberts Tyson, 1847 April 22",,1847-04-22,,"Author (aut): Waln, Edward, 1811-1887","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1847,4,22
451,"1847 April 23, Woodbourne, to Dear Brother, Philadelphia",,1847-04-23,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1847,4,23
452,"1847 May 14, Woodbourne, to Dear Brother, Philadelphia",,1847-05-14,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1847,5,14
453,"1847 July 26, Calconhook, to Alfred",,1847-07-26,Calcon Hook (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Alfred, 1806-1875",1847,7,26
454,"1847 July 29, Newport, to My Dear Mary",,1847-07-29,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Hartshorne, Mary Elizabeth Brown, b. 1823",1847,7,29
455,"1847 August 9, Newport, to My Dear Mary",,1847-08-09,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Hartshorne, Mary Elizabeth Brown, b. 1823",1847,8,9
456,"1847, August 10, to My dear Mary",,1847-08-10,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Hartshorne, Mary Elizabeth Brown, b. 1823",1847,8,10
457,"1847 August 12, Newport, to My Dear Mary",,1847-08-12,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Hartshorne, Mary Elizabeth Brown, b. 1823",1847,8,12
458,"Letter to Thomas P. Cope from Robert F. Walsh and W. L. Shaffer, 1847 August 18",,1847-08-18,Philadelphia (Pa.),"Author (aut): Walsh, Robert F.|Author (aut): Shaffer, W. L.",,1847,8,18
459,"1847 October 3, Woodbourne, to Henry Cope, Philadelphia",,1847-10-03,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1847,10,3
460,1847 to Saml Reeve,"This letter is an extract of a longer letter, contained within an envelope explaining its contents .

Next to the date of Eleanor Cope Tyson's death in the letter has been written in pencil 9/1/1847, the correct date of E.C. Tyson's death.",1847-11-01,,"Author (aut): Cope, Rachel Reeve, 1794-1863","Addressee (rcp): Reeve, Samuel, 1789?-1872",1847,11,1
461,"1847 November 11, New Garden, to Francis, Philadelphia",,1847-11-11,Guilford County (N.C.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1847,11,11
462,"1847 December 9, to Jeremiah & Elizabeth S. Brown, Philadelphia","William & Elizabeth Collins's acceptance of invitation to December 16, 1847 wedding of Francis Reeve Cope and Anna Stewardson Brown (Cope).
 
 Embossing of crown insignia with DOBES printed above at top right.",1847-12-09,,"Author (aut): Collins, William M.|Author (aut): Collins, Elizabeth C., 1811-1880","Addressee (rcp): Brown, Jeremiah, 1785-1858|Addressee (rcp): Brown, Elizabeth S.",1847,12,9
463,"1847 December 13, to Anna",Letter accompanying wedding gift from Uncle Moses & Aunt C.M. Brown to Anna Stewardson Brown (later Cope) upon her marriage to Francis R. Cope.,1847-12-13,,"Author (aut): Brown, Moses|Author (aut): Brown, C.M.","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1847,12,13
464,"1848 to Francis R. Cope, Philada.","<p>Annotated in pencil on last page: ""Poem apparently alluding to Henry Hartshorne engagement &amp; his loss to his companions."" ""Miss B."" is probably Henry Hartshorne's wife-to-be, Mary Elizabeth Brown (later Hartshorne) . The watermark consists of a B, under which there is an ornate crest.</p>
",1848,New Bedford (Mass.),"Author (aut): Taber, Charles, 1822-1887","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1848,0,0
465,"1848 January 1, to Henry Cope",Handwritten Transcript.,1848-01-01,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Henry, 1793-1865",1848,1,1
466,"1848 May 25, Lancaster, to Father",,1848-05-25,Lancaster (Pa.),"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858",,1848,5,25
467,"1848 August 6, Philadelphia, to Dear Mother & Father",,1848-08-06,Philadelphia (Pa.),"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1848,8,6
468,"1848 August 13, Cape May, to Dear Father",,1848-08-13,Cape May (N.J.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1848,8,13
469,"1848 October 19, Philadelphia, to Susan S. Brown,  N. York","Francis Reeve Cope penned this letter to Susan Brown (his sister in law) as if it was written by his day-old daughter, Elizabeth Stewardson Cope .

The following text was written in pencil near the address information on the letter, probably by E.S.C. as an adult: Announcing the birth of Eliz. S. Cope 10/18/1848.",1848-10-19,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Brown, Susanna Sansom, 1826-1909",1848,10,19
470,"1848 December 12, to Thomas P. Cope Esquire",,1848-12-12,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1848,12,12
471,"1849 August 24, Philadelphia, to Clementine",,1849-08-24,Philadelphia (Pa.),"Author (aut): Cope, Elizabeth W. (Elizabeth Stokes Waln), 1780-1852","Addressee (rcp): Cope, Clementine, 1835-1903",1849,8,24
472,"1849 October 6, Peace Dale, to My dear cousin",,1849-10-06,Peace Dale (R.I.),"Author (aut): Hazard, Rowland Gibson, 1829-1898|Author (aut): Hazard, Caroline Newbold, b. 1808?","Addressee (rcp): Hazard, Susan",1849,10,6
473,"1849 October 12, to Brother",,1849-10-12,,"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Thomas Pim, 1823-1900",1849,10,12
474,"1849 October 20, Muncy, to Anna, Philadelphia, Pa.",,1849-10-20,Muncy (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Ruthanna, 1834-1879",1849,10,20
475,"1849 November 12, Woodbourne, to Dear Brother, Philadelphia","Alfred Cope's journey to Green Bay, Wisconsin was likely part of a group sent ""to attend to the payment of a sum of money on behalf of the government, to the people of the mixed blood of the Menomonie Indians"" ""The Friend,"" 23 (1849) p. 17. This letter also contains copies of Alfred Cope's letters to Elizabeth Gummere and William Drinker Cope, regarding the deed to deceased cousin Abigail Barker's land.",1849-11-12,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1849,11,12
476,"Letter to Henry Cope from J. R. Tyson, 1849 November 15",,1849-11-15,,"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858","Addressee (rcp): Cope, Henry, 1793-1865",1849,11,15
477,"Letter from Thomas Pim Cope to Sarah John with a detailed record of the Cope family, 1850 February 23",,1850-02-23,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): John, Sarah",1850,2,23
478,"1850 April 8, Washington, to My dear Cousin",,1850-04-08,Washington (D.C.),"Author (aut): Hazard, Rowland Gibson, 1829-1898","Addressee (rcp): Cope, Clementine, 1835-1903",1850,4,8
479,"Letter from Joseph A. Clay to Thomas Pim Cope, 1850 May 6",,1850-05-06,Philadelphia (Pa.),"Author (aut): Clay, Joseph Ashmead, 1806-1881","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1850,5,6
480,"1850 August 30, Peace Dale, to My dear Cousin",,1850-08-30,Peace Dale (R.I.),"Author (aut): Hazard, Rowland Gibson, 1829-1898","Addressee (rcp): Cope, Clementine, 1835-1903",1850,8,30
481,"1850 September 8, to my dear Alfred","Circular embossing in the upper left corner. The watermark includes an illustration of a bird holding a branch on one side and the words ├""Amies Philada"" on the other side.",1850-09-08,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Alfred, 1806-1875",1850,9,8
482,"1850 September 29, Woodbourne, to My Dear Cousin, Philadelphia",,1850-09-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Ruthanna, 1834-1879",1850,9,29
483,"1850 October 3, Woodbourne, to Dear Brother, Philadelphia",,1850-10-03,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1850,10,3
484,"Envelope of letter for Susan L. Cope from her brother, 1850 November",,1850-11-01,,,"Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1850,11,1
485,"1850 December 10, Bristol, to my dear Friend, Philadelphia","Addressed to Walnut Street, Philadelphia (Pa.)",1850-12-10,Bristol (Pa.),"Author (aut): Vanuxem, Mary Ann Newbold Jenks, 1801-1871","Addressee (rcp): Cope, Alfred, 1806-1875",1850,12,10
486,"Letter from Caroline Yarnall to Francis R. Cope and Thomas P. Cope, 1850 December 17",,1850-12-27,Philadelphia (Pa.),"Author (aut): Yarnall, Caroline C.","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1850,12,27
487,"1851 January 21, Woodbourne, to Dear Brother, Philadelphia",,1851-01-21,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1851,1,21
488,"1851 March 31, Woodbourne, to Dear Brother, Philadelphia",,1851-03-31,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1851,3,31
489,"1851 May 5, Philadelphia, to Dear Brother, Woodbourne",,1851-05-05,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1851,5,5
490,"1851 May 12, Woodbourne, to Father",Contains letters dated 5-12-1851 and 5-22-1851 relating to a conflict with Thomas P. Cope over money sent to Clementine Cope.,1851-05-12,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1851,5,12
491,"1851 May 28, Woodbourne, to my dear Brother",,1851-05-28,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873",,1851,5,28
492,"1851 July 16, Philadelphia, to Dear Frances, Cape May",,1851-07-16,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1851,7,16
493,"1851 July 18, Philadelphia, to My dear daughter, Cape Island",,1851-07-18,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865|Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Ruthanna, 1834-1879|Addressee (rcp): Cope, Francis Reeve, 1821-1909",1851,7,18
494,"1851 July 26, Woodbourne, to Dear Brother, Philadelphia",,1851-07-26,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1851,7,26
495,"1851 August 21, Woodbourne, to Dear Brother, Philadelphia",,1851-08-21,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1851,8,21
496,"1851 September 19, Dublin, to Thomas Pim Cope, Philadelphia","This record contains two associated letters, one enclosed within the other .

The watermark reads A Cowan & Sons, 1851, Patent.

Connaught is one of the four ancient provinces of Ireland, with Ulster, Leinster, and Munster comprising the other three. Connaught contains the present-day counties of Mayo, Sligo, Roscommon, Galway, and Leitrim. Connaught, located on the midwestern coast of the island, relied heavily on agriculture for its business, and the Famine of the mid-nineteenth century especially affected this area.

Newcastle is located in County Down, which is part of present-day Northern Ireland. Newcastle remains a seaside resort town known for its scenery. The town lies at the foot of Slieve Donard, Northern Ireland's highest point, and its beaches and golf courses attract thousands of summer vistors.

The Belfast Ladies Relief Association for Connaught was an interdenominational group dedicated to providing for those left hungry and destitute by the potato famine in 1845. The Association was begun on January 1, 1847, by Rev. John Edgar, whose prior public work dealt with temperance issues. Its primary focus was raising money, although many of its members did involve themselves more personally in relief work. Their primary methods of funding involved door-to-door canvassing and the operation of a Bazaar of Ladies' Work in Belfast. Circulars with statistics and stories of the devastation were published to aid the ladies in their appeal.

Although food and clothing were at first the items most sought, the women had loftier goals: ""to improve, by industry, the temporal condition of the poor females of Connaught and their spiritual condition by the truth of the bible."" (from Luddy 22) Schools teaching needlework and knitting were established throughout Connaught. Information from Maria Luddy, ""Women and Philanthropy in Nineteenth-Century Ireland, "" in Women, Philanthropy, and Civil Society, edited by Kathleen D. McCarthy (Bloomington: Indiana University Press, 2001) and the First Report of the Belfast Ladies' Association, Belfast, 6 March 1847.",1851-09-19,Dublin (Ireland),"Author (aut): Pim, Jonathan, 1806-1885","Addressee (rcp): Cope, Thomas Pim, 1823-1900",1851,9,19
